,game_id,title,platform,platform_type,platform_maker,platform_generation,genre,year,publisher,developer,publisher_region,publisher_tier,esrb_rating,metacritic_score,user_score,critic_review_count,user_review_count,na_sales_million,eu_sales_million,jp_sales_million,other_sales_million,global_sales_million,estimated_revenue_million_usd,launch_price_usd,is_sequel,online_multiplayer,dlc_released,microtransactions,loot_boxes,game_pass_available,vr_support,goty_nominated,goty_won,how_long_to_beat_main_hrs,how_long_to_beat_completionist_hrs,previous_game
0,G000001,eFootball 2023,Game Boy,Handheld,Nintendo,4,Sports,1990,CD Projekt,Deep Silver,Poland,AAA,M,69,6.7,34,1172,10.01,8.35,2.58,3.46,24.4,575.88,49.99,1,1,1,0,0,0,0,0,0,31.8,86.1,eFootball 2022
1,G000002,Doom 3,Xbox,Console,Microsoft,6,Rhythm,2004,Ubisoft,Ubisoft,France,AAA,M,78,9.4,5,186,52.28,33.72,5.32,12.3,103.62,5056.51,59.99,1,0,1,1,0,0,0,0,0,13.1,55.4,Doom 2
2,G000003,God of Fire,PC,PC,Various,0,Misc,1988,Microsoft Studios,Microsoft Studios,USA,AAA,T,76,6.6,33,363,2.9,1.48,0.75,0.91,6.04,138.6,59.99,0,0,0,0,0,0,0,0,0,9.8,20.9,
3,G000004,Call of Duty: Rising Sun,Mobile (Android),Mobile,Google,0,Shooter,2017,InXile Entertainment,InXile Entertainment,USA,AA,M,62,7.0,28,532,6.76,3.27,0.73,2.34,13.1,36.98,0.0,0,1,1,1,0,0,0,0,0,9.1,44.8,
4,G000005,Fortnite 3,Nintendo 64,Console,Nintendo,5,Battle Royale,1999,Naughty Dog,id Software,USA,AAA,AO,62,5.6,58,1280,25.12,15.94,7.02,7.71,55.79,2148.24,69.99,1,1,0,1,0,0,0,0,0,150.8,322.3,Fortnite 2
5,G000006,Need for Speed: Shadow War,PC,PC,Various,0,Racing,2003,2K Games,id Software,USA,AAA,E,68,7.1,13,26,7.17,6.28,2.01,2.77,18.23,317.9,59.99,0,0,1,0,0,0,0,0,0,14.1,37.7,
6,G000007,Valorant 3,NES,Console,Nintendo,3,Shooter,1993,Activision Blizzard,Activision Blizzard,USA,AAA,T,90,8.5,72,109,58.72,39.21,6.14,7.42,111.49,3820.21,79.99,1,1,1,0,0,0,0,1,0,12.6,62.1,Valorant 2
7,G000008,FIFA 2024,NES,Console,Nintendo,3,Sports,1990,Sega,Obsidian Entertainment,Japan,AAA,T,75,7.8,9,280,17.44,7.64,14.14,5.06,44.28,2121.46,59.99,1,1,1,0,0,0,0,0,0,14.5,30.1,FIFA 2023
8,G000009,Battlefield Odyssey,Xbox 360,Console,Microsoft,7,Shooter,2005,Humble Games,Humble Games,USA,Indie,E10+,67,7.0,3,224,1.69,1.47,0.37,0.39,3.92,163.29,49.99,0,1,0,1,0,0,0,0,0,4.2,17.6,
9,G000010,Kirby's Knight,Atari 2600,Console,Atari,2,Platform,1990,2K Games,Epic Games,USA,AAA,M,75,8.1,15,182,6.65,4.93,1.8,0.74,14.12,653.65,49.99,0,0,1,0,0,0,0,0,0,15.1,64.1,
10,G000011,Doom Reborn,Game Boy,Handheld,Nintendo,4,Misc,2003,Square Enix,Square Enix,Japan,AAA,T,68,7.5,18,168,0.45,0.28,0.33,0.13,1.19,31.82,29.99,0,0,1,0,0,0,0,0,0,14.6,69.2,
11,G000012,Elden Reborn,Sega Genesis,Console,Sega,4,Role-Playing,1997,Bethesda Softworks,Bethesda Softworks,USA,AAA,T,72,7.2,11,271,2.75,1.7,0.15,1.02,5.62,231.22,49.99,0,0,1,1,0,0,0,0,0,65.9,149.2,
12,G000013,Batman: Arkham Realm,Browser,Browser,Various,0,Action,2004,Team17,Team17,UK,AA,T,59,6.2,47,4,1.43,0.65,0.09,0.45,2.62,0.0,0.0,0,0,0,0,0,0,0,0,0,15.8,32.2,
13,G000014,Stardew Origins,PC,PC,Various,0,Simulation,1986,Rockstar Games,Nomada Studio,USA,AAA,M,77,7.8,4,984,1.56,1.32,0.22,0.18,3.28,54.78,9.99,0,0,1,0,0,0,0,0,0,34.8,70.7,
14,G000015,Europa Universalis VII,Xbox 360,Console,Microsoft,7,Strategy,2008,Devolver Digital,Bungie,USA,AA,T,70,7.0,8,350,1.16,0.54,0.11,0.2,2.01,68.23,49.99,1,1,1,0,0,0,0,0,0,28.2,94.6,Europa Universalis VI
15,G000016,Until Dawn Legacy,Nintendo 3DS,Handheld,Nintendo,8,Survival Horror,2020,Square Enix,Square Enix,Japan,AAA,E,93,10.0,20,64,13.76,11.89,11.88,3.88,41.41,1326.75,19.99,0,0,1,1,1,0,0,0,0,9.1,40.0,
16,G000017,The Sims 2,Xbox Series X/S,Console,Microsoft,9,Simulation,2024,Naughty Dog,Naughty Dog,USA,AAA,E,73,6.1,16,143,9.88,5.35,1.7,3.03,19.96,812.38,79.99,1,1,1,0,0,0,0,0,0,37.1,170.7,The Sims
17,G000018,Ridge Racer 4,PC,PC,Various,0,Racing,2011,Nintendo,Nintendo,Japan,AAA,M,87,9.4,15,1340,13.12,9.48,11.34,4.33,38.27,757.42,9.99,1,0,1,0,0,0,0,1,0,10.1,28.3,Ridge Racer 3
18,G000019,Night in the Saga,Atari 2600,Console,Atari,2,Adventure,1985,Take-Two Interactive,Raw Fury,USA,AAA,T,87,9.0,11,429,2.3,1.88,0.42,0.68,5.28,262.12,39.99,0,0,1,0,0,0,0,0,0,16.5,72.7,
19,G000020,Injustice 2,Xbox 360,Console,Microsoft,7,Fighting,2012,Remedy Entertainment,Other,Finland,AA,E,84,9.3,12,103,5.67,2.48,0.85,2.07,11.07,473.0,59.99,1,1,0,0,0,0,0,0,0,5.8,19.3,Injustice 1
20,G000021,Rainbow Six: City,Xbox,Console,Microsoft,6,Shooter,2006,InXile Entertainment,Toby Fox,USA,AA,T,74,5.9,37,496,5.85,3.64,1.66,1.59,12.74,438.55,49.99,0,1,0,1,0,0,0,0,0,9.1,28.9,
21,G000022,Baba Is Genesis,Nintendo 64,Console,Nintendo,5,Puzzle,2002,InXile Entertainment,Larian Studios,USA,AA,E,68,7.0,36,2609,0.87,0.4,0.17,0.12,1.56,67.95,69.99,0,0,1,0,0,0,0,0,0,9.5,21.1,
22,G000023,FIFA 2025,Game Boy,Handheld,Nintendo,4,Sports,2003,Naughty Dog,Naughty Dog,USA,AAA,M,73,8.7,22,221,30.26,19.56,1.74,4.81,56.37,1622.5,29.99,1,1,1,0,0,0,0,0,0,19.6,53.1,FIFA 2024
23,G000024,Doom Legacy,PC,PC,Various,0,Action,2018,Epic Games,Nomada Studio,USA,AAA,E,77,7.3,59,521,11.85,5.9,2.64,4.64,25.03,571.7,49.99,0,0,1,0,0,0,0,0,0,10.9,38.3,
24,G000025,Shadow of Horizon,NES,Console,Nintendo,3,Rhythm,1995,Remedy Entertainment,Remedy Entertainment,Finland,AA,T,65,6.8,17,420,1.48,0.94,0.34,0.32,3.08,138.62,69.99,0,0,0,0,0,0,0,0,0,10.0,43.5,
25,G000026,Batman: Arkham Valley,Sega Genesis,Console,Sega,4,Rhythm,1997,Warner Bros. Games,Double Fine,USA,AAA,E,70,7.4,10,341,7.79,5.13,1.2,2.25,16.37,699.74,59.99,1,0,0,0,0,0,0,0,0,15.3,71.9,
26,G000027,Fall Guys Remastered,PC,PC,Various,0,Battle Royale,2022,Supergiant Games,Warner Bros. Games,USA,Indie,E,81,8.7,25,177,5.95,3.98,1.22,1.69,12.84,308.42,29.99,0,1,1,1,1,0,0,0,0,82.0,184.8,
27,G000028,Kirby's Origins,Mobile (Android),Mobile,Google,0,Platform,2023,Valve,Klei Entertainment,USA,AAA,E10+,70,6.1,49,97,15.79,11.54,1.98,6.31,35.62,72.0,0.99,0,1,0,0,0,0,1,0,0,7.9,19.7,
28,G000029,WWE 2023,PlayStation 4,Console,Sony,8,Sports,2020,Microsoft Studios,Microsoft Studios,USA,AAA,E10+,74,7.9,214,1013,30.12,22.26,1.97,7.92,62.27,2000.37,49.99,1,1,1,1,1,1,0,0,0,20.7,75.8,WWE 2022
29,G000030,Forza Motorsport 3,Xbox Series X/S,Console,Microsoft,9,Racing,2021,Deep Silver,Annapurna Interactive,Germany,AA,Not Rated,74,6.5,7,78,2.58,2.28,0.52,0.59,5.97,287.4,69.99,1,0,1,1,0,0,0,0,0,13.2,59.6,Forza Motorsport 2
30,G000031,Spyro: Reckoning,NES,Console,Nintendo,3,Platform,2003,Square Enix,id Software,Japan,AAA,E,61,7.2,15,137,7.18,4.76,1.83,1.59,15.36,687.34,59.99,0,1,1,0,0,0,0,0,0,12.5,45.4,
31,G000032,Baldur's Gate 6,Game Boy Color,Handheld,Nintendo,5,Role-Playing,1998,Nintendo,Nintendo,Japan,AAA,E,84,9.3,10,318,5.52,4.42,3.81,1.34,15.09,508.3,49.99,1,0,1,0,0,0,0,0,0,70.8,149.2,Baldur's Gate 5
32,G000033,Yoshi's Reborn,PlayStation 3,Console,Sony,7,Platform,2010,Warner Bros. Games,Warner Bros. Games,USA,AAA,T,82,8.4,17,219,50.97,35.77,11.3,6.09,104.13,4124.94,79.99,0,1,0,0,0,0,0,0,0,11.6,39.3,
33,G000034,Battlefield Dragon,PlayStation,Console,Sony,5,Shooter,2005,InXile Entertainment,InXile Entertainment,USA,AA,E10+,54,6.0,32,26,2.11,1.42,0.42,0.43,4.38,215.71,69.99,0,1,0,0,0,0,0,0,0,7.9,21.5,
34,G000035,King of Fighters 2024,NES,Console,Nintendo,3,Fighting,2001,Konami,Konami,Japan,AAA,M,77,7.6,16,52,5.2,3.96,4.0,1.26,14.42,521.06,69.99,1,1,1,1,0,0,0,0,0,3.6,7.5,King of Fighters 2023
35,G000036,Fallen Awakening,PlayStation 5,Console,Sony,9,Action,2025,CD Projekt,Focus Entertainment,Poland,AAA,M,84,8.2,7,63,14.87,11.54,3.04,2.44,31.89,1174.34,39.99,0,0,0,0,0,0,0,0,0,5.1,10.9,
36,G000037,Shadow of Kingdom,Mobile (iOS),Mobile,Apple,0,Action,2018,id Software,Deep Silver,USA,AAA,M,72,7.2,25,89,105.71,75.86,6.44,11.6,199.61,425.79,2.99,0,0,1,0,0,0,0,0,0,11.0,52.5,
37,G000038,The Sims 5,Nintendo Switch,Hybrid,Nintendo,9,Simulation,2023,InXile Entertainment,InXile Entertainment,USA,AA,T,68,5.0,11,311,1.3,0.66,0.36,0.4,2.72,92.68,59.99,1,0,1,0,0,0,0,0,0,36.0,173.0,The Sims 4
38,G000039,Euro Truck Simulator 2,Xbox,Console,Microsoft,6,Simulation,2003,id Software,id Software,USA,AAA,T,81,8.1,94,1403,12.05,8.01,2.71,2.96,25.73,1105.85,49.99,1,0,1,0,0,0,0,0,0,31.9,136.8,Euro Truck Simulator
39,G000040,Rayman Genesis,PC,PC,Various,0,Platform,2001,FromSoftware,FromSoftware,Japan,AAA,Not Rated,74,5.6,23,18620,5.75,5.09,1.3,2.04,14.18,225.73,14.99,0,0,1,1,0,0,0,0,0,10.2,50.3,
40,G000041,Rayman Knight,Browser,Browser,Various,0,Platform,2017,2K Games,Nomada Studio,USA,AAA,E,84,7.9,21,144,39.27,20.3,8.92,13.94,82.43,0.0,0.0,0,0,1,1,0,0,0,0,0,9.1,33.0,
41,G000042,eFootball 2023,PC,PC,Various,0,Sports,2015,ConcernedApe,ConcernedApe,USA,Indie,E,76,7.4,8,101,2.27,1.92,0.52,0.27,4.98,113.44,49.99,1,1,0,1,1,0,0,0,0,26.9,121.5,eFootball 2022
42,G000043,Rise of the Saga,Game Boy Color,Handheld,Nintendo,5,Action,1999,Team17,Toby Fox,UK,AA,E10+,82,7.1,16,754,0.7,0.42,0.08,0.07,1.27,37.68,49.99,0,0,1,0,0,0,0,0,0,9.5,20.6,
43,G000044,Apex: New Dawn,PC,PC,Various,0,Shooter,2009,Valve,Valve,USA,AAA,M,84,6.8,7,242,5.56,3.85,0.69,2.16,12.26,197.24,39.99,0,1,1,1,0,0,0,0,0,12.7,41.1,
